,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
Gm17938,1.6326472689895,-0.0283357867054927,0.260378292958355,0.354635900489927,,0.6972290011453024
Gm17949,1.5331223054991,-0.0443146166390763,0.264681966448116,0.0803066934943299,,0.40425245439188895
Gm17971,3.2742703950291,0.0538398939786914,0.265043553192325,0.181532381568695,,0.547650271464274
Gm17981,1.21303078405387,-0.0002244314867047,0.257875956130501,0.992351992070962,,0.9974984033623744
Gm18009,18.5579463147166,-0.0142413034343544,0.250581651841094,0.832523437881017,0.932402482563213,0.946770963501023
Gm18030,6.88901865914696,-0.0853549921002274,0.27175375451069,0.193191676321976,0.506867536858737,0.5615999667334987
Gm18042,2.01723470743803,-0.0172981806285886,0.257756010058708,0.65587056994974,,0.8708569219016533
Gm18095,8.17388253540058,-0.0070592755331424,0.250576917405103,0.91473776519065,0.967766975517045,0.9776275317881751
Gm18113,1.5057595596046,0.0047667760086218,0.257504491275334,0.894721036289783,,0.9696095635291754
Gm18119,1.24355236160229,-0.0233842013935117,0.260226421702237,0.364892449119667,,0.704294279087932
Gm18180,8.51984434744867,-0.043641131649559,0.256978673434419,0.486729405807264,0.74224191833547,0.7793105898549377
Gm18187,1.74233897658812,-0.0486986446441606,0.265967959640449,0.0458113982922276,,0.3285575223031722
Gm18190,6.44132083441939,-0.139783703783141,0.312042003891122,0.0223263352982442,0.208243739863354,0.2457832176084758
Gm18194,4.66801629833969,-0.0522366838931133,0.260639108245159,0.369157108442262,0.66347572353414,0.7074581846582323
